text,created_at,retweet_count,url
"RT @MarkJP1008: NewJeans x PUBG storyboard

#NewJeans #뉴진스 
#NewJeans_is_Everywhere
#Minji #Hanni #Haerin #Hyein #Danielle https://t.co/rkd…",2024-07-20T06:53:57.000Z,115,https://twitter.com/twitter/status/1814554319217435065
"RT @DanielleMarshID: With CELINE, many Danielle beautiful moments are created 🖤

#DANIELLExCELINE
#뉴진스 #NewJeans
#다니엘 #Danielle #ダニエル https…",2024-07-20T06:53:55.000Z,36,https://twitter.com/twitter/status/1814554311587999938
RT @newjs11: 뉴진스 샤카탁억지 표절논란을 지금와서 다시 최초 터트린 하이브전담 스피커 문화일보 안진용의 유투브렉카채널입니다.아는 사람은 다 알겠지만 혹시나 모르는 사람이 있을까봐.단독이라고 하이브에서 소스를 제공받은거고 이사람은 이전부터…,2024-07-20T06:53:52.000Z,89,https://twitter.com/twitter/status/1814554298287591521
"RT @hiphamhanniy: 뉴진스와 버니즈가 함께 달려온 시간이 곧 2주년.. 🫠  앞으로도 즐기면서 행복했으면 해 

#NewJeans_is_Everywhere  
#NewJeans  #bunnies 🦋 240722✨ https://t.co/…",2024-07-20T06:53:46.000Z,2,https://twitter.com/twitter/status/1814554276019998762
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:53:46.000Z,1696,https://twitter.com/twitter/status/1814554275777028311
RT @bluemoon_hn: 240720 WOWOWプライム #뉴진스 #NewJeans https://t.co/Q7KC4qOlxS,2024-07-20T06:53:41.000Z,40,https://twitter.com/twitter/status/1814554252674539947
"RT @newjeanswllpp: NewJeans ""Right Now"" #쇼음악중심 Wallpaper (4K) 

#NewJeans #뉴진스 @NewJeans_ADOR https://t.co/LObgZB0g1Y",2024-07-20T06:53:34.000Z,108,https://twitter.com/twitter/status/1814554222496768474
"RT @UpdatesNewJeans: [📢] 

Fortnite will collaborate with NewJeans in December 

#NewJeans #뉴진스 https://t.co/2RrtbVFNNA",2024-07-20T06:53:33.000Z,571,https://twitter.com/twitter/status/1814554219749294215
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:53:30.000Z,1696,https://twitter.com/twitter/status/1814554206994641368
"RT @MarkJP1008: NewJeans Bunnies Camp Tokyo 2024 at WOWOW

**Special feature on NewJeans for 4 consecutive months and A special interview f…",2024-07-20T06:53:29.000Z,151,https://twitter.com/twitter/status/1814554203500781581
"RT @joker_bunnies: 😲~
#놀러와요_뉴진스숲 
#뉴진스 #Newjeans #NEWーじーんず #뉴진스2주년카페 https://t.co/iy5qv7aKJ0",2024-07-20T06:53:25.000Z,9,https://twitter.com/twitter/status/1814554186421575980
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:53:17.000Z,1696,https://twitter.com/twitter/status/1814554152099590543
